ID,Pseudodiptomus.Adult,Psedodiptomus.copepidite,Acanthocyclops.adult,Acanthocyclops.copepididte,Cyclopoid.sp.,Cyclopoid.nauplii,Calanoid.naulpii,Harpaticoid,Daphnia.pulex,Daphnia.laevis,Daphnia.magna,Daphnia.mendotea,Ceriodaphnia.sp.,Simocephalus.sp.,Bosmina.sp.,Sididae,Chydorus.sphaericus,Eurycercus,Alona,Chydoridae,Diaphanosoma,Scapholeberis,Embryo,Eucypris,Illyocypris,Cypridopsis,Gammarus,Rotifer,Polychaete,Acari,Chironomid.larvae,Oligochaete,Gastropod,Tardigrade,Nematode,Hyallela,Hydra,Terrestrial.insect,Collembola,Baetidae,Diptera,Hydroptilidae,Coleoptera,Ephemerellidae,Odonata,Bivalve,Trichoptera,Corixidae,Fish.larvae,Streblocerus,Amphipod,Ilyocryptus,DATE,LOCATION,TIME,TEMP..C.,EC...s.cm.,SPC...s.cm.,TDS..mg.L.,SALINITY..PSU.,DO....sat.,DO..mg.L.,pH,TURBIDITY..NTU.,CHL...g.L.,BGA...g.L.,Start.Rotation,End.Rotation,ZOOP.SCORE..1.10.,Notes,VolumeSampled
RRCAN_1/15/2021_11:30,0,0,200,17200,0,0,1400,0,0,0,0,0,200,600,3200,0,1600,0,0,0,0,0,0,200,0,0,0,26400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/15/21,RRCAN,11:30,12.09,861,1141.9,742,0.57,75.1,8.05,7.86,77.53,10.23,1.12,277298,278022,4,,1.375268651
RRCAN_1/19/2021_8:10,0,0,200,15800,0,0,600,900,1900,0,200,0,1100,1900,1300,100,4800,0,100,0,0,0,300,200,0,0,0,2000,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/19/21,RRCAN,8:10,8.677,847.3,1228.8,799,0.62,88,10.19,8.12,96.35,9.27,1.35,297194,297873,5,,1.289789246
RRCAN_1/22/2021_8:30,225.0000056,75.00000188,75.00000188,10350.00026,0,75.00000188,150.0000038,225.0000056,675.0000169,0,300.0000075,0,1575.000039,300.0000075,2325.000058,0,1875.000047,0,75.00000188,0,0,0,150.0000038,0,0,0,0,1800.000045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/22/21,RRCAN,8:30,8.273,808.2,1186.1,771,0.59,83.6,9.79,8.02,112.41,9.91,1.53,309921,310669,5,,1.420857667
RRCAN_1/26/2021_8:20,0,0,200,5550,0,100,0,200,1050,0,0,0,950,0,600,0,2550,0,100,0,50,0,650,0,0,0,0,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/26/21,RRCAN,8:20,6.607,555.3,855.6,556,0.42,81,9.9,7.99,49.57,11.15,1.28,326804,327461,4,,1.247999314
RRCAN_2/2/2021_8:20,0,0,200,21400,0,400,0,0,3200,0,1200,0,0,0,12200,200,5600,0,800,0,0,200,0,200,0,0,0,14200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,2/2/21,RRCAN,8:20,12.95,765.3,993.5,646,0.49,77.3,8.06,781,109.52,8.96,1.04,348424,349072,5,,1.230903433
RRCAN_2/8/2021_8:00,0,100,250,9300,0,0,50,100,2250,0,0,0,250,0,1500,0,2050,0,150,0,0,0,100,100,0,0,0,700,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/8/21,RRCAN,8:00,9.668,658,929.4,604,0.46,71.2,8.07,7.89,75.95,7.96,1.13,361385,362061,4,,1.284090619
RRCAN_2/15/2021_8:00,0,0,1000,24200,0,0,0,1800,2000,0,0,0,2600,0,500,0,2900,0,0,0,0,0,0,0,0,0,0,7200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/15/21,RRCAN,8:00,11.543,1177,1583.4,1030,0.81,84.8,9.23,8.06,167.49,11.59,1.62,382629,383250,5,,1.17961579
RRCAN_2/22/2021_8:00,0,0,300,13400,0,0,100,200,7400,0,800,0,2900,1400,1500,0,5500,0,300,0,0,0,0,0,0,0,0,6700,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/22/21,RRCAN,8:00,10.348,NA,107.8,NA,0.54,91.5,10.17,8.01,75.67,6.74,NA,405219,405854,5,,1.206209383
RRCAN_3/1/2021_8:25,0,0,1200,23400,0,0,0,0,24800,0,2400,0,5200,0,2800,0,13000,0,200,0,0,0,0,0,0,0,0,51000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/1/21,RRCAN,8:25,10.281,878,1220,793.242,0.61,91.6,10.22,8.09,74.85,11.06,1.36,426721,427371,8,,1.234702518
RRCAN_3/8/2021_8:00,0,0,400,3700,0,100,100,100,5800,0,500,0,5300,0,4500,0,1900,0,600,0,0,0,100,0,0,0,0,17700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/8/21,RRCAN,8:00,12.152,802,1061,690.475,0.53,86.7,9.27,7.99,91.82,9.08,1.38,451097,451718,6,,1.17961579
RRCAN_3/15/2021_8:30,0,0,0,3200,0,0,100,0,1800,0,100,0,1200,200,2200,0,5600,0,300,0,0,0,0,0,0,0,0,16600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/15/21,RRCAN,8:30,10.361,882,1224,795.813,0.61,83.7,9.32,8.1,76.82,9.22,1.37,471998,472638,4,,1.215707095
RRCAN_3/22/2021_8:40,0,0,16.66666667,2016.666667,0,116.6666667,416.6666667,0,250,0,0,0,100,0,200,16.66666667,1950,0,150,0,0,0,83.33333333,16.66666667,0,0,0,1933.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/22/21,RRCAN,8:40,13.273,985,126.7,821.083,0.63,82.7,8.62,8.2,5.62,13.76,1.31,492312,492940,2,,1.192912587
RRCAN_3/29/2021_8:40,0,0,0,22349.99888,0,0,1000,50,0,0,0,0,0,0,25,0,775,0,175,0,0,25,0,50,0,0,0,900,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,3/29/21,RRCAN,8:40,16.873,994,1176,764.311,0.59,119.3,11.53,8.43,54.96,30.38,2.02,0,0,2,,1.413716694
RRSAC1_11/9/2020_9:45,0,1.818181818,1.818181818,180,0,1.818181818,12.72727273,0,14.54545455,0,0,0,96.36363636,1.818181818,72.72727273,0,16.36363636,0,65.45454545,0,3.636363636,1.818181818,0,0,1.818181818,0,0,25.45454545,0,7.272727273,0,0,0,7.272727273,0,0,3.636363636,0,3.636363636,0,0,0,0,0,0,0,0,0,0,0,0,0,11/9/20,RRSAC1,9:45,12.05,130.7,173.5,113,0.08,96.9,10.42,8.16,1.79,1.38,0.81,86525,87216,1,,1.312583754
RRSAC1_11/16/2020_8:40,4.444444444,8.888888889,4.444444444,275.5555556,0,4.444444444,40,0,53.33333333,0,0,0,440,22.22222222,62.22222222,0,26.66666667,0,80,0,4.444444444,0,0,0,0,0,0,217.7777778,4.444444444,4.444444444,4.444444444,35.55555556,0,17.77777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/16/20,RRSAC1,8:40,10.91,132.5,181.1,118,0.09,98.7,10.9,8.03,2.52,1.74,0.85,96711,97287,1,,1.094136385
RRSAC1_11/23/2020_8:30,0,0,45.00000011,270.0000007,0,0,45.00000011,0,120.0000003,0,0,0,795.000002,67.50000017,142.5000004,0,30.00000008,0,7.500000019,0,0,0,0,7.500000019,0,0,0,375.0000009,0,0,7.500000019,0,0,15.00000004,0,0,0,7.500000019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/23/20,RRSAC1,8:30,11.124,145.4,197.6,128,0.09,94.4,10.37,7.89,3.33,1.51,0.76,110424,111073,1,,1.232802976
RRSAC1_11/30/2020_8:35,0,3.333333333,6.666666667,263.3333333,0,6.666666667,20,3.333333333,90,0,0,0,400,36.66666667,130,0,33.33333333,0,33.33333333,0,0,0,0,0,0,0,0,80,0,0,6.666666667,6.666666667,0,6.666666667,3.333333333,0,3.333333333,0,3.333333333,0,0,0,0,0,0,0,0,0,0,10,0,0,11/30/20,RRSAC1,8:35,9.687,135.6,191.4,124,0.09,98.2,11.16,8.04,7.77,2.21,0.9,125617,126271,1,,1.242300687
RRSAC1_12/8/2020_8:10,0,1.538461538,4.615384615,135.3846154,0,3.076923077,15.38461538,0,27.69230769,0,3.076923077,0,146.1538462,20,83.07692308,1.538461538,26.15384615,0,50.76923077,0,0,4.615384615,1.538461538,4.615384615,0,0,0,133.8461538,0,9.230769231,12.30769231,20,0,9.230769231,1.538461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.538461538,12/8/20,RRSAC1,8:10,9.616,136.7,193.3,126,0.09,98.7,11.23,7.81,1.91,1.4,0.78,153041,153633,1,,1.124529063
RRSAC1_12/15/2020_11:10,5,0,30,350,0,10,65,0,115,0,5,0,485,35,325,0,110,0,60,0,0,10,10,0,0,0,0,175,0,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/15/20,RRSAC1,11:10,10.014,146.6,205.2,133,0.1,95.5,10.77,7.81,3.03,1.45,0.67,178841,179447,1,,1.151122655
RRSAC1_12/22/2020_8:10,0,6.666666667,26.66666667,626.6666667,0,33.33333333,93.33333333,0,86.66666667,0,20,0,340,13.33333333,133.3333333,0,320,0,126.6666667,0,0,0,13.33333333,0,0,0,0,740,0,0,6.666666667,40,0,6.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.666666667,0,0,12/22/20,RRSAC1,8:10,8.988,146.1,210.3,137,0.1,94.9,10.97,7.83,3.37,3.64,0.89,196048,196646,1,,1.135926317
RRSAC1_12/29/2020_8:10,0,0,30,316.6666667,0,0,6.666666667,6.666666667,56.66666667,0,0,0,163.3333333,6.666666667,66.66666667,3.333333333,296.6666667,0,63.33333333,0,0,0,3.333333333,0,0,0,0,113.3333333,70,10,16.66666667,40,0,6.666666667,0,0,6.666666667,0,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,12/29/20,RRSAC1,8:10,8.857,140.8,203.4,132,0.1,96.5,11.19,7.82,4.97,2.19,0.77,218816,219424,1,,1.15492174
RRSAC1_1/5/2021_8:20,0,5.714285714,2.857142857,197.1428571,0,14.28571429,20,2.857142857,34.28571429,0,0,0,94.28571429,34.28571429,100,0,314.2857143,0,120,0,0,5.714285714,0,8.571428571,0,0,0,51.42857143,0,0,2.857142857,20,0,11.42857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28571429,1/5/21,RRSAC1,8:20,9.679,147.5,208.3,135,0.1,96.2,10.94,7.74,3.5,2.46,0.79,235202,235880,1,,1.287889704
RRSAC1_1/12/2021_8:10,0,3.571428571,25,214.2857143,0,14.28571429,14.28571429,0,28.57142857,0,0,0,46.42857143,0,25,0,350,0,85.71428571,0,0,0,3.571428571,0,0,0,0,71.42857143,85.71428571,3.571428571,10.71428571,35.71428571,0,21.42857143,10.71428571,0,0,0,3.571428571,0,0,0,0,0,3.571428571,0,0,0,0,0,0,0,1/12/21,RRSAC1,8:10,9.354,150.1,213.8,139,0.1,96.4,1.04,7.76,10.07,2,0.71,265686,266464,1,,1.477843937
RRSAC1_1/15/2021_11:20,0,0,5.172413793,136.2068966,0,8.620689655,3.448275862,0,24.13793103,0,0,0,31.03448276,0,39.65517241,5.172413793,160.3448276,0,34.48275862,0,0,1.724137931,13.79310345,1.724137931,0,0,0,65.51724138,44.82758621,0,5.172413793,10.34482759,0,13.79310345,0,0,6.896551724,3.448275862,0,3.448275862,0,0,0,5.172413793,0,0,0,0,0,0,0,0,1/15/21,RRSAC1,11:20,10.663,117,160.9,105,0.08,99.5,11.06,7.79,2.6,1.42,0.55,276507,277293,1,,1.493040276
RRSAC1_1/19/2021_8:00,0,0,8.333333333,179.1666667,0,12.5,0,0,45.83333333,0,0,0,29.16666667,0,12.5,0,200,0,58.33333333,0,25,0,12.5,4.166666667,0,0,0,145.8333333,375,16.66666667,8.333333333,33.33333333,0,66.66666667,25,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/19/21,RRSAC1,8:00,10.522,151.8,209.6,136,0.1,96.6,10.76,7.87,5.09,2.89,0.68,296517,297193,2,,1.284090619
RRSAC1_1/22/2021_8:20,0,3.333333333,8.333333333,158.3333333,0,1.666666667,3.333333333,0,41.66666667,0,0,0,26.66666667,0,25,3.333333333,70,0,16.66666667,0,0,0,6.666666667,1.666666667,1.666666667,0,0,45,68.33333333,11.66666667,10,23.33333333,0,13.33333333,1.666666667,0,3.333333333,0,0,3.333333333,0,0,0,0,0,0,0,0,0,0,0,0,1/22/21,RRSAC1,8:20,9.881,151.1,217.2,138,0.1,99.5,11.26,7.87,11.92,2.69,2,309275,309921,1,,1.227104349
RRSAC1_1/26/2021_8:10,0,1.428571429,8.571428571,135.7142857,0,2.857142857,8.571428571,1.428571429,34.28571429,0,4.285714286,0,21.42857143,4.285714286,42.85714286,0,82.85714286,0,37.14285714,0,0,0,1.428571429,0,0,0,0,11.42857143,0,1.428571429,11.42857143,20,0,10,20,0,8.571428571,0,2.857142857,0,0,0,0,0,0,0,0,0,0,0,0,5.714285714,1/26/21,RRSAC1,8:10,8.531,141.8,206.7,134,0.1,97.8,11.41,7.97,2.57,2.77,0.87,326303,326806,1,,0.955469795
RRSAC1_2/2/2021_8:15,0,0,10,260,0,20,10,0,60,0,0,0,70,40,30,0,960,0,350,0,0,0,90,0,0,0,0,50,0,0,10,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/2/21,RRSAC1,8:15,9.812,128.8,181.2,118,0.09,87.7,9.93,7.52,15.6,3.52,0.67,347768,348411,1,,1.221405722
RRSAC1_2/8/2021_7:40,5,20,5,335,0,0,5,0,45,0,0,0,55,0,60,10,480,0,170,0,0,5,35,5,0,0,0,60,50,35,20,55,0,20,5,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2/8/21,RRSAC1,7:40,10.157,148.5,206.9,134,0.1,93.8,10.54,7.6,11.37,2.7,0.67,360728,361374,2,,1.227104349
RRSAC1_2/15/2021_7:50,0,6.25,6.25,225,0,6.25,25,0,50,0,0,0,68.75,0,50,6.25,587.5,0,93.75,0,0,56.25,0,0,0,0,0,125,75,12.5,6.25,18.75,0,50,31.25,0,25,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,2/15/21,RRSAC1,7:50,11.399,153.6,207.3,135,0.1,96.6,10.55,7.74,13.29,4.25,0.63,381875,382632,1,,1.437953548
RRSAC1_2/22/2021_7:50,0,18.75,18.75,256.25,0,0,12.5,0,75,0,0,0,87.5,6.25,87.5,25,662.5,0,68.75,0,0,0,68.75,0,0,0,0,68.75,25,0,0,0,0,12.5,12.5,0,18.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2/22/21,RRSAC1,7:50,10.637,NA,214.3,NA,0.1,101.3,11.26,7.92,5.9,2.39,NA,404548,405204,1,,1.246099772
RRSAC1_3/1/2021_8:10,0,5.882352941,11.76470588,182.3529412,0,5.882352941,2.941176471,0,35.29411765,0,2.941176471,0,20.58823529,0,44.11764706,14.70588235,264.7058824,0,73.52941176,0,0,0,50,2.941176471,0,0,0,123.5294118,111.7647059,55.88235294,35.29411765,38.23529412,0,35.29411765,35.29411765,0,20.58823529,2.941176471,0,8.823529412,0,0,0,0,0,0,0,0,0,0,0,0,3/1/21,RRSAC1,8:10,10.907,156.1,213,138.42,0.1,103.7,11.45,8.16,5.58,5.04,0.88,426084,426718,1,,1.204309841
RRSAC1_3/8/2021_7:50,5,7.5,5,112.5,0,0,10,20,17.5,0,2.5,0,25,0,15,0,245,0,35,0,0,0,0,2.5,0,0,0,15,0,0,20,35,0,20,10,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7.5,3/8/21,RRSAC1,7:50,13.046,161.6,209.8,136.175,0.1,99.7,10.49,8.16,4.56,3.06,0.71,450433,451100,1,,1.266994738
RRSAC1_3/15/2021_8:20,1.904761905,0,11.42857143,200,0,1.904761905,7.619047619,11.42857143,0,0,1.904761905,0,9.523809524,0,19.04761905,0,66.66666667,1.904761905,83.80952381,0,0,0,0,3.80952381,0,0,0,3.80952381,0,0,38.0952381,53.33333333,0,22.85714286,34.28571429,0,1.904761905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.714285714,3/15/21,RRSAC1,8:20,11.747,146,195.1,126.904,0.09,98,10.61,7.93,2.23,3.16,0.8,471337,471995,1,,1.249898857
RRSAC1_3/22/2021_8:25,10,15,5,275,0,5,50,5,15,0,0,0,170,0,50,0,580,0,120,0,0,5,0,10,0,0,0,10,0,0,35,25,0,15,30,0,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3/22/21,RRSAC1,8:25,12.752,139.7,182.3,118.516,0.09,101.4,10.74,7.82,5.78,3.65,0.6,491641,492293,1,,1.238501603
RRSAC1_3/29/2021_8:30,4.545454545,63.63636364,9.090909091,440.9090909,0,13.63636364,4.545454545,0,36.36363636,0,0,0,104.5454545,0,122.7272727,0,381.8181818,0,168.1818182,0,0,4.545454545,0,4.545454545,0,0,0,109.0909091,0,90.90909091,27.27272727,4.545454545,0,45.45454545,18.18181818,0,36.36363636,0,4.545454545,4.545454545,0,0,0,9.090909091,0,0,0,4.545454545,0,0,0,13.63636364,3/29/21,RRSAC1,8:30,15.356,165.3,202.5,131.633,0.1,100.5,10.05,8.12,8.86,2.93,0.41,0,0,1,,1.413716694
RRSAC2_11/9/2020_9:35,1.315789474,2.631578947,3.947368421,126.3157895,0,0,21.05263158,0,3.947368421,0,0,0,68.42105263,0,94.73684211,0,5.263157895,0,39.47368421,0,2.631578947,0,0,0,0,0,0,23.68421053,0,2.631578947,3.947368421,28.94736842,0,6.578947368,2.631578947,0,1.315789474,0,2.631578947,0,0,0,0,0,0,0,0,0,0,0,0,1.315789474,11/9/20,RRSAC2,9:35,11.978,130.3,173.3,113,0.08,96.7,10.42,8.12,2.4,1.69,0.83,85995,86522,1,,1.001058811
RRSAC2_11/16/2020_8:20,0,0,17.14285714,277.1428571,0,2.857142857,22.85714286,0,37.14285714,0,0,0,271.4285714,22.85714286,91.42857143,2.857142857,8.571428571,0,60,0,2.857142857,8.571428571,0,0,0,0,0,140,0,0,0,25.71428571,0,0,11.42857143,0,2.857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.571428571,11/16/20,RRSAC2,8:20,10.875,132.6,181.5,118,0.09,98.2,10.86,8.01,1.75,1.86,0.8,96167,96708,1,,1.027652404
RRSAC2_11/23/2020_8:15,0,0,100,1275,0,37.5,37.5,0,125,0,0,0,1112.5,37.5,425,0,50,0,75,0,12.5,12.5,0,0,0,0,0,875,0,12.5,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,11/23/20,RRSAC2,8:15,11.076,145.3,197.7,128,0.09,94.5,10.39,7.9,2.65,1.78,0.78,109729,110410,1,,1.293588331
RRSAC2_11/30/2020_8:15,0,9.375,9.375,184.375,0,6.25,9.375,0,68.75,0,0,0,306.25,34.375,118.75,0,34.375,0,18.75,0,3.125,6.25,0,0,0,0,0,112.5,0,3.125,3.125,0,0,6.25,0,0,3.125,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,3.125,11/30/20,RRSAC2,8:15,9.65,135.2,191.5,125,0.09,98.6,11.24,8.08,1.65,2.24,0.81,125053,125616,1,,1.069442335
RRSAC2_12/8/2020_8:00,0,1.818181818,23.63636364,187.2727273,0,0,23.63636364,1.818181818,29.09090909,0,0,0,145.4545455,10.90909091,81.81818182,0,23.63636364,0,47.27272727,0,0,14.54545455,0,0,0,0,0,101.8181818,0,0,0,12.72727273,0,14.54545455,3.636363636,0,1.818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.818181818,12/8/20,RRSAC2,8:00,9.586,135.2,191.3,124,0.09,97.9,11.16,7.81,1.7,1.85,0.75,152390,153031,1,,1.217606637
RRSAC2_12/15/2020_10:45,6.666666667,13.33333333,60,693.3333333,0,6.666666667,60,0,180,0,26.66666667,0,553.3333333,33.33333333,426.6666667,0,160,0,86.66666667,0,0,26.66666667,13.33333333,0,0,0,0,280,0,0,0,26.66666667,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.666666667,12/15/20,RRSAC2,10:45,10.004,145.6,203.8,132,0.1,96,10.82,7.89,5.41,2.25,0.7,177921,178308,2,,0.735122884
RRSAC2_12/22/2020_8:00,0,12.5,50,637.5,0,18.75,93.75,0,112.5,0,12.5,0,387.5,43.75,118.75,0,356.25,0,93.75,0,0,25,0,18.75,0,0,0,487.5,0,0,6.25,43.75,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,6.25,12/22/20,RRSAC2,8:00,9.138,146.9,210.5,137,0.1,95,10.93,7.8,4.85,2.62,0.78,195482,196041,1,,1.061844166
RRSAC2_12/29/2020_8:00,0,5.555555556,22.22222222,269.4444444,0,8.333333333,5.555555556,0,44.44444444,0,0,0,91.66666667,2.777777778,77.77777778,5.555555556,216.6666667,0,50,0,5.555555556,8.333333333,0,2.777777778,0,0,0,72.22222222,33.33333333,2.777777778,11.11111111,5.555555556,0,11.11111111,0,0,5.555555556,0,8.333333333,5.555555556,0,0,0,2.777777778,0,0,0,0,0,0,0,0,12/29/20,RRSAC2,8:00,8.888,141.1,203.5,132,0.1,96.6,11.18,7.85,5.11,2.4,0.78,218255,218804,1,,1.042848742
RRSAC2_1/5/2021_8:10,0,2.222222222,26.66666667,222.2222222,0,8.888888889,11.11111111,0,53.33333333,0,4.444444444,0,73.33333333,22.22222222,104.4444444,0,235.5555556,0,115.5555556,0,0,0,0,0,0,0,0,17.77777778,0,0,6.666666667,4.444444444,0,17.77777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.666666667,1/5/21,RRSAC2,8:10,9.721,147.8,208.4,135,0.1,95.6,10.85,7.76,5.65,2.45,0.74,234664,235193,1,,1.004857896
