Date,LOCATION,PIT,Length.mm,Weight.g
2/21/2019,RRSAC1,D6E96,57,1.99
2/21/2019,RRSAC1,D6E9A,50,1.13
2/21/2019,RRSAC1,D6EB0,54,1.63
2/21/2019,RRSAC1,D6EC5,50,1.35
2/21/2019,RRSAC2A,B03A9,49,1.19
2/21/2019,RRSAC2A,B03B1,48,1.31
2/21/2019,RRSAC2A,B03DF,51,1.14
2/21/2019,RRSAC2A,B0409,48,0.98
2/21/2019,RRSAC2A,B0413,47,1.15
2/21/2019,RRSAC2A,B0419,45,0.96
2/21/2019,RRSAC2A,B04A6,44,0.84
2/21/2019,RRSAC2A,B04AB,48,1.26
2/21/2019,RRSAC2A,D6E7F,50,1.17
2/21/2019,RRSAC2A,D6E83,52,1.38
2/21/2019,RRSAC2A,D6E8C,55,1.63
2/21/2019,RRSAC2A,D6E8E,45,1.04
2/21/2019,RRSAC2A,D6EAB,48,1.19
2/21/2019,RRSAC2A,D6EAF,47,1.02
2/21/2019,RRSAC2A,D6EB1,47,1.05
2/21/2019,RRSAC2B,B03D2,NA,NA
2/21/2019,RRSAC2B,B03D5,NA,NA
2/21/2019,RRSAC2B,B03DD,50,1.42
2/21/2019,RRSAC2B,B03F2,51,1.47
2/21/2019,RRSAC2B,B040E,48,1.35
2/21/2019,RRSAC2B,B0429,48,1.05
2/21/2019,RRSAC2B,B0446,50,1.14
2/21/2019,RRSAC2B,B0453,53,1.5
2/21/2019,RRSAC2B,B0455,51,1.31
2/21/2019,RRSAC2B,B0476,50,1.22
2/21/2019,RRSAC2B,B0494,50,1.17
2/21/2019,RRSAC2B,B04A0,48,1.08
2/21/2019,RRSAC2B,B04AD,51,1.19
2/21/2019,RRSAC2B,B04AE,50,1.33
2/21/2019,RRSAC2B,D6E78,51,1.35
2/21/2019,RRSAC2B,D6E85,NA,NA
2/21/2019,RRSAC2B,D6E9B,50,1.4
2/21/2019,RRSAC3,B03AA,NA,NA
2/21/2019,RRSAC3,B03B4,53,1.56
2/21/2019,RRSAC3,B03D1,41,0.84
2/21/2019,RRSAC3,B03D7,48,1.35
2/21/2019,RRSAC3,B03D8,51,1.3
2/21/2019,RRSAC3,B03D9,48,1.05
2/21/2019,RRSAC3,B03E8,NA,NA
2/21/2019,RRSAC3,B0406,47,1.08
2/21/2019,RRSAC3,B041D,53,1.35
2/21/2019,RRSAC3,B0423,NA,NA
2/21/2019,RRSAC3,B043D,49,1.11
2/21/2019,RRSAC3,B0448,NA,NA
2/21/2019,RRSAC3,B044A,49,1.24
2/21/2019,RRSAC3,B0456,43,0.98
2/21/2019,RRSAC3,B047E,NA,NA
2/21/2019,RRSAC3,B0481,48,0.99
2/21/2019,RRSAC3,B0488,NA,NA
2/21/2019,RRSAC3,B04B0,46,0.96
2/21/2019,RRSAC3,B04B1,NA,NA
2/21/2019,RRSAC3,B04B3,NA,NA
2/21/2019,RRSAC3,B04B7,53,1.5
2/21/2019,RRSAC3,B04C7,NA,NA
2/21/2019,RRSAC3,B04C8,51,1.43
2/21/2019,RRSAC3,B04CB,49,1.07
2/21/2019,RRSAC3,D6E80,51,1.31
2/21/2019,RRSAC3,D6EC1,47,1.13
2/21/2019,RRSAC3,D6ED1,50,1.48
2/21/2019,RRSAC4,B03A6,48,1.02
2/21/2019,RRSAC4,B03C4,NA,NA
2/21/2019,RRSAC4,B03D3,46,0.96
2/21/2019,RRSAC4,B03E2,50,1.02
2/21/2019,RRSAC4,B0408,49,1.23
2/21/2019,RRSAC4,B0418,NA,NA
2/21/2019,RRSAC4,B041F,44,0.85
2/21/2019,RRSAC4,B042A,49,1.11
2/21/2019,RRSAC4,B0434,49,1.19
2/21/2019,RRSAC4,B0437,50,1.2
2/21/2019,RRSAC4,B0443,49,1.23
2/21/2019,RRSAC4,B044B,NA,NA
2/21/2019,RRSAC4,B044D,48,1.01
2/21/2019,RRSAC4,B0462,48,1.12
2/21/2019,RRSAC4,B0474,51,0.97
2/21/2019,RRSAC4,B0487,51,1.33
2/21/2019,RRSAC4,B048B,48,1.1
2/21/2019,RRSAC4,B04B6,58,1.76
2/21/2019,RRSAC4,B04B8,42,1.01
2/21/2019,RRSAC4,D6E7B,51,1.38
2/21/2019,RRSAC4,D6E88,47,1.11
2/21/2019,RRSAC4,D6E89,45,1.16
2/21/2019,RRSAC4,D6E95,50,1.35
2/21/2019,RRSAC4,D6E99,NA,NA
2/21/2019,RRSAC4,D6E9C,48,1.35
2/21/2019,RRSAC4,D6EA5,49,1.26
2/21/2019,RRSAC4,D6EA9,54,1.61
2/21/2019,RRSAC4,D6EB5,45,0.96
2/21/2019,RRSAC4,D6ECB,50,1.15
2/21/2019,RRSAC4,D6ED0,51,1.5
2/27/2019,ELDSAC,B03F5,54,1.55
2/27/2019,ELDSAC,B040B,45,0.9
2/27/2019,ELDSAC,B0410,51,1.27
2/27/2019,ELDSAC,B0425,50,1.12
2/27/2019,ELDSAC,B0439,48,1.05
2/27/2019,ELDSAC,B045F,45,0.74
2/27/2019,ELDSAC,B046F,54,1.46
2/27/2019,ELDSAC,D6EBA,49,1.21
2/27/2019,RRCAN,B03AF,49,1.33
2/27/2019,RRCAN,B03C7,47,0.97
2/27/2019,RRCAN,B03F6,49,1.25
2/27/2019,RRCAN,B0433,50,1.31
2/27/2019,RRCAN,B0442,48,1.29
2/27/2019,RRCAN,B0459,50,1.24
2/27/2019,RRCAN,B0465,49,1.35
2/27/2019,RRCAN,B046C,51,1.4
2/27/2019,RRCAN,B0472,52,1.45
2/27/2019,RRCAN,B047A,50,1.24
2/27/2019,RRCAN,B0485,59,2.46
2/27/2019,RRCAN,B048D,53,1.58
2/27/2019,RRCAN,B049E,49,1.28
2/27/2019,RRCAN,B04BA,49,1.25
2/27/2019,RRCAN,B04BC,53,1.59
2/27/2019,RRCAN,B04C5,50,1.24
2/27/2019,RRCAN,B04CA,52,1.43
2/27/2019,RRCAN,D6E7D,50,1.36
2/27/2019,RRCAN,D6E84,53,1.83
2/27/2019,RRCAN,D6E92,54,1.65
2/27/2019,RRCAN,D6EA0,47,1.04
2/27/2019,RRCAN,D6EAC,53,1.4
2/27/2019,RRCAN,D6EBD,51,1.53
2/27/2019,RRCAN,D6ECA,50,1.23
2/27/2019,RRCAN,D6ECE,52,1.31
2/27/2019,RRSAC1,B03B3,52,1.43
2/27/2019,RRSAC1,B03C9,48,1.18
2/27/2019,RRSAC1,B03D6,50,1.49
2/27/2019,RRSAC1,B03EB,54,1.6
2/27/2019,RRSAC1,B0415,45,0.91
2/27/2019,RRSAC1,B0421,48,1.09
2/27/2019,RRSAC1,B042D,56,1.66
2/27/2019,RRSAC1,B0431,52,1.55
2/27/2019,RRSAC1,B0435,47,1.11
2/27/2019,RRSAC1,B043F,51,1.29
2/27/2019,RRSAC1,B0441,55,1.68
2/27/2019,RRSAC1,B0445,47,1.06
2/27/2019,RRSAC1,B044F,49,1.02
2/27/2019,RRSAC1,B0467,46,0.87
2/27/2019,RRSAC1,B0489,50,1.4
2/27/2019,RRSAC1,B0490,48,1.12
2/27/2019,RRSAC1,B04A4,49,1.22
2/27/2019,RRSAC1,B04AC,53,1.59
2/27/2019,RRSAC1,B04BB,53,1.51
2/27/2019,RRSAC1,B04C3,50,1.39
2/27/2019,RRSAC1,B04C9,55,1.72
2/27/2019,RRSAC1,D6E76,49,1.18
2/27/2019,RRSAC1,D6E96,58,2.06
2/27/2019,RRSAC1,D6E9A,51,1.24
2/27/2019,RRSAC1,D6EB0,55,1.81
2/27/2019,RRSAC1,D6EC5,52,1.4
2/27/2019,RRSAC2A,B03A9,49,1.31
2/27/2019,RRSAC2A,B03B1,50,1.25
2/27/2019,RRSAC2A,B03DF,52,1.38
2/27/2019,RRSAC2A,B0409,48,1.04
2/27/2019,RRSAC2A,B0413,49,1.5
2/27/2019,RRSAC2A,B0419,46,1.09
2/27/2019,RRSAC2A,B04A6,46,0.94
2/27/2019,RRSAC2A,B04AB,50,1.52
2/27/2019,RRSAC2A,D6E7F,52,1.38
2/27/2019,RRSAC2A,D6E83,54,1.58
2/27/2019,RRSAC2A,D6E8C,56,1.66
2/27/2019,RRSAC2A,D6E8E,47,1.11
2/27/2019,RRSAC2A,D6EAB,49,1.23
2/27/2019,RRSAC2A,D6EAF,47,1.1
2/27/2019,RRSAC2A,D6EB1,49,1.32
2/27/2019,RRSAC2B,B03D2,50,1.02
2/27/2019,RRSAC2B,B03D5,45,0.89
2/27/2019,RRSAC2B,B03DD,52,1.64
2/27/2019,RRSAC2B,B03F2,51,1.65
2/27/2019,RRSAC2B,B040E,50,1.32
2/27/2019,RRSAC2B,B0429,49,1.23
2/27/2019,RRSAC2B,B0446,50,1.34
2/27/2019,RRSAC2B,B0453,54,1.67
2/27/2019,RRSAC2B,B0455,52,1.5
2/27/2019,RRSAC2B,B0476,49,1.26
2/27/2019,RRSAC2B,B0494,52,1.4
2/27/2019,RRSAC2B,B04A0,49,1.38
2/27/2019,RRSAC2B,B04AD,50,1.29
2/27/2019,RRSAC2B,B04AE,53,1.63
2/27/2019,RRSAC2B,D6E78,52,1.51
2/27/2019,RRSAC2B,D6E85,50,1.03
2/27/2019,RRSAC2B,D6E9B,51,1.46
2/27/2019,RRSAC3,B03AA,45,0.95
2/27/2019,RRSAC3,B03B4,55,1.97
2/27/2019,RRSAC3,B03D1,45,1
2/27/2019,RRSAC3,B03D7,50,1.26
2/27/2019,RRSAC3,B03D8,54,1.41
2/27/2019,RRSAC3,B03D9,49,1.18
2/27/2019,RRSAC3,B03E8,55,1.55
2/27/2019,RRSAC3,B0406,48,0.95
2/27/2019,RRSAC3,B041D,53,1.7
2/27/2019,RRSAC3,B0423,50,1.06
2/27/2019,RRSAC3,B043D,50,1.34
2/27/2019,RRSAC3,B0448,53,1.39
2/27/2019,RRSAC3,B044A,50,1.4
2/27/2019,RRSAC3,B0456,44,0.98
2/27/2019,RRSAC3,B047E,42,0.58
2/27/2019,RRSAC3,B0481,48,1.26
2/27/2019,RRSAC3,B0488,52,1.22
2/27/2019,RRSAC3,B04B0,48,1.11
2/27/2019,RRSAC3,B04B1,43,0.78
2/27/2019,RRSAC3,B04B3,47,0.91
2/27/2019,RRSAC3,B04B7,54,1.45
2/27/2019,RRSAC3,B04C7,48,1.19
2/27/2019,RRSAC3,B04C8,53,1.59
2/27/2019,RRSAC3,B04CB,NA,1.22
2/27/2019,RRSAC3,D6E80,50,1.42
2/27/2019,RRSAC3,D6EC1,49,1.18
2/27/2019,RRSAC3,D6ED1,52,1.52
2/27/2019,RRSAC4,B03A6,48,1.13
2/27/2019,RRSAC4,B03C4,48,1.34
2/27/2019,RRSAC4,B03D3,48,1.1
2/27/2019,RRSAC4,B03E2,50,1.26
2/27/2019,RRSAC4,B0408,49,1.36
2/27/2019,RRSAC4,B0418,49,1.06
2/27/2019,RRSAC4,B041F,47,0.98
2/27/2019,RRSAC4,B042A,50,1.11
2/27/2019,RRSAC4,B0434,49,1.19
2/27/2019,RRSAC4,B0437,51,1.38
2/27/2019,RRSAC4,B0443,49,1.27
2/27/2019,RRSAC4,B044B,47,1.07
2/27/2019,RRSAC4,B044D,47,1.34
2/27/2019,RRSAC4,B0462,49,1.13
2/27/2019,RRSAC4,B0474,52,1.33
2/27/2019,RRSAC4,B0487,53,1.48
2/27/2019,RRSAC4,B048B,50,1.32
2/27/2019,RRSAC4,B04B6,56,1.85
2/27/2019,RRSAC4,B04B8,42,1.01
2/27/2019,RRSAC4,D6E7B,52,1.71
2/27/2019,RRSAC4,D6E88,49,1.4
2/27/2019,RRSAC4,D6E89,47,1.16
2/27/2019,RRSAC4,D6E95,50,1.31
2/27/2019,RRSAC4,D6E99,44,0.76
2/27/2019,RRSAC4,D6E9C,50,1.36
2/27/2019,RRSAC4,D6EA5,50,1.32
2/27/2019,RRSAC4,D6EA9,55,1.91
2/27/2019,RRSAC4,D6EB5,46,0.91
2/27/2019,RRSAC4,D6ECB,52,1.39
2/27/2019,RRSAC4,D6ED0,53,1.84
3/5/2019,ELDSAC,B03F5,NA,NA
3/5/2019,ELDSAC,B040B,NA,NA
3/5/2019,ELDSAC,B0410,NA,NA
3/5/2019,ELDSAC,B0425,50,1.22
3/5/2019,ELDSAC,B0439,NA,NA
3/5/2019,ELDSAC,B045F,NA,NA
3/5/2019,ELDSAC,B046F,54,1.55
3/5/2019,ELDSAC,D6EBA,49,1.23
3/5/2019,RRCAN,B03AF,55,1.72
3/5/2019,RRCAN,B03C7,49,1.24
3/5/2019,RRCAN,B03F6,53,1.65
3/5/2019,RRCAN,B0433,54,1.75
3/5/2019,RRCAN,B0442,51,1.59
3/5/2019,RRCAN,B0459,53,1.72
3/5/2019,RRCAN,B0465,52,1.58
3/5/2019,RRCAN,B046C,55,1.94
3/5/2019,RRCAN,B0472,56,1.77
3/5/2019,RRCAN,B047A,53,1.55
3/5/2019,RRCAN,B0485,64,3.09
3/5/2019,RRCAN,B048D,57,2.18
3/5/2019,RRCAN,B049E,52,1.71
3/5/2019,RRCAN,B04BA,52,1.5
3/5/2019,RRCAN,B04BC,57,2.05
3/5/2019,RRCAN,B04C5,53,1.67
3/5/2019,RRCAN,B04CA,55,1.91
3/5/2019,RRCAN,D6E7D,54,1.67
3/5/2019,RRCAN,D6E84,55,2.06
3/5/2019,RRCAN,D6E92,56,2.23
3/5/2019,RRCAN,D6EA0,50,1.33
3/5/2019,RRCAN,D6EAC,53,1.77
3/5/2019,RRCAN,D6EBD,56,2.03
3/5/2019,RRCAN,D6ECA,54,1.62
3/5/2019,RRCAN,D6ECE,52,1.67
3/5/2019,RRSAC1,B03B3,53,1.46
3/5/2019,RRSAC1,B03C9,49,1.16
3/5/2019,RRSAC1,B03D6,51,1.46
3/5/2019,RRSAC1,B03EB,54,1.63
3/5/2019,RRSAC1,B0415,NA,NA
3/5/2019,RRSAC1,B0421,48,1.05
3/5/2019,RRSAC1,B042D,56,1.61
3/5/2019,RRSAC1,B0431,52,1.43
3/5/2019,RRSAC1,B0435,48,1.13
3/5/2019,RRSAC1,B043F,51,1.31
3/5/2019,RRSAC1,B0441,56,1.42
3/5/2019,RRSAC1,B0445,47,1.12
3/5/2019,RRSAC1,B044F,NA,NA
3/5/2019,RRSAC1,B0467,NA,NA
3/5/2019,RRSAC1,B0489,50,1.29
3/5/2019,RRSAC1,B0490,49,1.17
3/5/2019,RRSAC1,B04A4,49,1.03
3/5/2019,RRSAC1,B04AC,52,1.5
3/5/2019,RRSAC1,B04BB,53,1.46
3/5/2019,RRSAC1,B04C3,51,1.39
3/5/2019,RRSAC1,B04C9,54,1.64
3/5/2019,RRSAC1,D6E76,49,1.1
3/5/2019,RRSAC1,D6E96,57,1.95
3/5/2019,RRSAC1,D6E9A,50,1.23
3/5/2019,RRSAC1,D6EB0,55,1.89
3/5/2019,RRSAC1,D6EC5,52,1.3
3/5/2019,RRSAC2A,B03A9,50,1.52
3/5/2019,RRSAC2A,B03B1,50,1.33
3/5/2019,RRSAC2A,B03DF,53,1.7
3/5/2019,RRSAC2A,B0409,50,1.28
3/5/2019,RRSAC2A,B0413,50,1.46
3/5/2019,RRSAC2A,B0419,49,1.24
3/5/2019,RRSAC2A,B04A6,48,1.23
3/5/2019,RRSAC2A,B04AB,52,1.84
3/5/2019,RRSAC2A,D6E7F,54,1.69
3/5/2019,RRSAC2A,D6E83,56,1.77
3/5/2019,RRSAC2A,D6E8C,55,1.83
3/5/2019,RRSAC2A,D6E8E,50,1.27
3/5/2019,RRSAC2A,D6EAB,NA,NA
3/5/2019,RRSAC2A,D6EAF,49,1.32
3/5/2019,RRSAC2A,D6EB1,51,1.34
3/5/2019,RRSAC2B,B03D2,51,1.16
3/5/2019,RRSAC2B,B03D5,NA,NA
3/5/2019,RRSAC2B,B03DD,52,1.62
3/5/2019,RRSAC2B,B03F2,53,1.58
3/5/2019,RRSAC2B,B040E,51,1.4
3/5/2019,RRSAC2B,B0429,51,1.39
3/5/2019,RRSAC2B,B0446,51,1.47
3/5/2019,RRSAC2B,B0453,55,1.86
3/5/2019,RRSAC2B,B0455,52,1.7
3/5/2019,RRSAC2B,B0476,51,1.47
3/5/2019,RRSAC2B,B0494,52,1.52
3/5/2019,RRSAC2B,B04A0,51,1.61
3/5/2019,RRSAC2B,B04AD,51,1.34
3/5/2019,RRSAC2B,B04AE,55,1.7
3/5/2019,RRSAC2B,D6E78,54,1.96
3/5/2019,RRSAC2B,D6E85,NA,NA
3/5/2019,RRSAC2B,D6E9B,52,1.67
3/5/2019,RRSAC3,B03AA,45,0.98
3/5/2019,RRSAC3,B03B4,57,1.98
3/5/2019,RRSAC3,B03D1,48,1.17
3/5/2019,RRSAC3,B03D7,51,1.51
3/5/2019,RRSAC3,B03D8,54,1.62
3/5/2019,RRSAC3,B03D9,49,1.25
3/5/2019,RRSAC3,B03E8,55,1.68
3/5/2019,RRSAC3,B0406,NA,NA
3/5/2019,RRSAC3,B041D,55,1.92
3/5/2019,RRSAC3,B0423,50,1.32
3/5/2019,RRSAC3,B043D,51,1.5
3/5/2019,RRSAC3,B0448,54,1.63
3/5/2019,RRSAC3,B044A,50,1.27
3/5/2019,RRSAC3,B0456,46,1.2
3/5/2019,RRSAC3,B047E,NA,NA
3/5/2019,RRSAC3,B0481,49,1.32
3/5/2019,RRSAC3,B0488,52,1.44
3/5/2019,RRSAC3,B04B0,50,1.29
3/5/2019,RRSAC3,B04B1,44,0.94
3/5/2019,RRSAC3,B04B3,47,1.05
3/5/2019,RRSAC3,B04B7,54,1.58
3/5/2019,RRSAC3,B04C7,NA,NA
3/5/2019,RRSAC3,B04C8,55,1.7
3/5/2019,RRSAC3,B04CB,50,1.41
3/5/2019,RRSAC3,D6E80,51,1.5
3/5/2019,RRSAC3,D6EC1,50,1.35
3/5/2019,RRSAC3,D6ED1,53,1.58
3/5/2019,RRSAC4,B03A6,48,1.26
3/5/2019,RRSAC4,B03C4,50,1.23
3/5/2019,RRSAC4,B03D3,48,1.2
3/5/2019,RRSAC4,B03E2,51,1.35
3/5/2019,RRSAC4,B0408,50,1.49
3/5/2019,RRSAC4,B0418,50,1.18
3/5/2019,RRSAC4,B041F,47,1.1
3/5/2019,RRSAC4,B042A,49,1.23
3/5/2019,RRSAC4,B0434,50,1.28
3/5/2019,RRSAC4,B0437,53,1.52
3/5/2019,RRSAC4,B0443,50,1.33
3/5/2019,RRSAC4,B044B,48,1.13
3/5/2019,RRSAC4,B044D,50,1.39
3/5/2019,RRSAC4,B0462,49,1.27
3/5/2019,RRSAC4,B0474,53,1.44
3/5/2019,RRSAC4,B0487,53,1.68
3/5/2019,RRSAC4,B048B,50,1.38
3/5/2019,RRSAC4,B04B6,57,1.74
3/5/2019,RRSAC4,B04B8,NA,NA
3/5/2019,RRSAC4,D6E7B,53,1.56
3/5/2019,RRSAC4,D6E88,51,1.39
3/5/2019,RRSAC4,D6E89,48,1.3
3/5/2019,RRSAC4,D6E95,52,1.4
3/5/2019,RRSAC4,D6E99,NA,NA
3/5/2019,RRSAC4,D6E9C,52,1.54
3/5/2019,RRSAC4,D6EA5,50,1.34
3/5/2019,RRSAC4,D6EA9,55,1.92
3/5/2019,RRSAC4,D6EB5,NA,NA
3/5/2019,RRSAC4,D6ECB,54,1.52
3/5/2019,RRSAC4,D6ED0,55,1.88
3/12/2019,ELDSAC,B03F5,NA,NA
3/12/2019,ELDSAC,B040B,NA,NA
3/12/2019,ELDSAC,B0410,NA,NA
3/12/2019,ELDSAC,B0425,51,1.3
3/12/2019,ELDSAC,B0439,NA,NA
3/12/2019,ELDSAC,B045F,NA,NA
3/12/2019,ELDSAC,B046F,55,1.61
3/12/2019,ELDSAC,D6EBA,53,1.33
3/12/2019,RRCAN,B03AF,61,2.36
3/12/2019,RRCAN,B03C7,54,1.65
3/12/2019,RRCAN,B03F6,59,2.27
3/12/2019,RRCAN,B0433,58,2.36
3/12/2019,RRCAN,B0442,58,2.29
3/12/2019,RRCAN,B0459,59,2.35
3/12/2019,RRCAN,B0465,59,2.12
3/12/2019,RRCAN,B046C,63,2.76
3/12/2019,RRCAN,B0472,62,2.47
3/12/2019,RRCAN,B047A,59,2.05
3/12/2019,RRCAN,B0485,72,4.26
3/12/2019,RRCAN,B048D,66,2.91
3/12/2019,RRCAN,B049E,60,2.43
3/12/2019,RRCAN,B04BA,59,2.05
3/12/2019,RRCAN,B04BC,64,2.82
3/12/2019,RRCAN,B04C5,59,2.3
3/12/2019,RRCAN,B04CA,64,2.63
3/12/2019,RRCAN,D6E7D,59,2.22
3/12/2019,RRCAN,D6E84,62,2.7
3/12/2019,RRCAN,D6E92,62,2.95
3/12/2019,RRCAN,D6EA0,54,1.95
3/12/2019,RRCAN,D6EAC,60,2.25
3/12/2019,RRCAN,D6EBD,61,2.53
3/12/2019,RRCAN,D6ECA,61,2.45
3/12/2019,RRCAN,D6ECE,58,2.21
3/12/2019,RRSAC1,B03B3,52,1.48
3/12/2019,RRSAC1,B03C9,49,1.2
3/12/2019,RRSAC1,B03D6,53,1.7
3/12/2019,RRSAC1,B03EB,54,1.74
3/12/2019,RRSAC1,B0415,NA,NA
3/12/2019,RRSAC1,B0421,49,1.2
3/12/2019,RRSAC1,B042D,57,1.78
3/12/2019,RRSAC1,B0431,54,1.55
3/12/2019,RRSAC1,B0435,50,1.24
3/12/2019,RRSAC1,B043F,51,1.34
3/12/2019,RRSAC1,B0441,57,1.71
3/12/2019,RRSAC1,B0445,49,1.07
3/12/2019,RRSAC1,B044F,NA,NA
3/12/2019,RRSAC1,B0467,NA,NA
3/12/2019,RRSAC1,B0489,52,1.41
3/12/2019,RRSAC1,B0490,49,1.21
3/12/2019,RRSAC1,B04A4,49,1.3
3/12/2019,RRSAC1,B04AC,53,1.65
3/12/2019,RRSAC1,B04BB,53,1.69
3/12/2019,RRSAC1,B04C3,53,1.49
3/12/2019,RRSAC1,B04C9,56,1.81
3/12/2019,RRSAC1,D6E76,52,1.33
3/12/2019,RRSAC1,D6E96,60,NA
3/12/2019,RRSAC1,D6E9A,51,1.34
3/12/2019,RRSAC1,D6EB0,56,1.81
3/12/2019,RRSAC1,D6EC5,52,1.45
3/12/2019,RRSAC2A,B03A9,53,1.79
3/12/2019,RRSAC2A,B03B1,54,1.74
3/12/2019,RRSAC2A,B03DF,55,2.23
3/12/2019,RRSAC2A,B0409,53,1.44
3/12/2019,RRSAC2A,B0413,55,1.87
3/12/2019,RRSAC2A,B0419,52,1.43
3/12/2019,RRSAC2A,B04A6,52,1.64
3/12/2019,RRSAC2A,B04AB,55,2.2
3/12/2019,RRSAC2A,D6E7F,60,2.26
3/12/2019,RRSAC2A,D6E83,57,2.19
3/12/2019,RRSAC2A,D6E8C,59,2.19
3/12/2019,RRSAC2A,D6E8E,53,1.62
3/12/2019,RRSAC2A,D6EAB,NA,NA
3/12/2019,RRSAC2A,D6EAF,53,1.7
3/12/2019,RRSAC2A,D6EB1,54,1.63
3/12/2019,RRSAC2B,B03D2,53,1.28
3/12/2019,RRSAC2B,B03D5,NA,NA
3/12/2019,RRSAC2B,B03DD,54,1.77
3/12/2019,RRSAC2B,B03F2,57,1.68
3/12/2019,RRSAC2B,B040E,53,1.58
3/12/2019,RRSAC2B,B0429,55,1.68
3/12/2019,RRSAC2B,B0446,56,1.86
3/12/2019,RRSAC2B,B0453,60,2.09
3/12/2019,RRSAC2B,B0455,55,1.9
3/12/2019,RRSAC2B,B0476,55,1.73
3/12/2019,RRSAC2B,B0494,55,1.88
3/12/2019,RRSAC2B,B04A0,54,1.82
3/12/2019,RRSAC2B,B04AD,54,1.58
3/12/2019,RRSAC2B,B04AE,59,1.91
3/12/2019,RRSAC2B,D6E78,59,2.4
3/12/2019,RRSAC2B,D6E85,NA,NA
3/12/2019,RRSAC2B,D6E9B,55,1.91
3/12/2019,RRSAC3,B03AA,45,0.98
3/12/2019,RRSAC3,B03B4,59,2.12
3/12/2019,RRSAC3,B03D1,48,1.2
3/12/2019,RRSAC3,B03D7,NA,NA
3/12/2019,RRSAC3,B03D8,54,1.61
3/12/2019,RRSAC3,B03D9,50,1.31
3/12/2019,RRSAC3,B03E8,57,1.71
3/12/2019,RRSAC3,B0406,NA,NA
3/12/2019,RRSAC3,B041D,NA,NA
3/12/2019,RRSAC3,B0423,50,1.28
3/12/2019,RRSAC3,B043D,55,1.7
3/12/2019,RRSAC3,B0448,55,1.75
3/12/2019,RRSAC3,B044A,52,1.41
3/12/2019,RRSAC3,B0456,49,1.26
3/12/2019,RRSAC3,B047E,NA,NA
3/12/2019,RRSAC3,B0481,51,1.39
3/12/2019,RRSAC3,B0488,52,1.42
3/12/2019,RRSAC3,B04B0,51,1.36
3/12/2019,RRSAC3,B04B1,45,0.96
3/12/2019,RRSAC3,B04B3,49,1.1
3/12/2019,RRSAC3,B04B7,55,1.74
3/12/2019,RRSAC3,B04C7,NA,NA
3/12/2019,RRSAC3,B04C8,57,1.84
3/12/2019,RRSAC3,B04CB,52,1.47
3/12/2019,RRSAC3,D6E80,54,1.53
3/12/2019,RRSAC3,D6EC1,53,1.46
3/12/2019,RRSAC3,D6ED1,54,1.67
